거래량 데이터,시가 데이터,고가데이터,저가데이터,종가 데이터,외국인 순매수 수량,time
9692.0,112.3,112.4,111.9,112.0,20348,2004-01-19 09:05:00
5116.0,112.0,112.05,111.9,111.95,20285,2004-01-19 09:10:00
4258.0,111.95,112.05,111.8,112.05,20361,2004-01-19 09:15:00
5633.0,112.05,112.2,112.0,112.1,19993,2004-01-19 09:20:00
1997.0,112.1,112.1,112.0,112.0,19467,2004-01-19 09:25:00
4059.0,112.0,112.15,111.95,112.15,19389,2004-01-19 09:30:00
4076.0,112.2,112.3,112.15,112.2,19259,2004-01-19 09:35:00
8422.0,112.25,112.55,112.15,112.55,19008,2004-01-19 09:40:00
5382.0,112.55,112.75,112.55,112.7,18826,2004-01-19 09:45:00
6093.0,112.7,112.95,112.7,112.8,18629,2004-01-19 09:50:00
5755.0,112.8,112.9,112.6,112.7,17853,2004-01-19 09:55:00
4766.0,112.7,112.75,112.5,112.65,17770,2004-01-19 10:00:00
2466.0,112.6,112.65,112.5,112.6,18472,2004-01-19 10:05:00
7465.0,112.35,112.55,112.2,112.45,17629,2004-01-20 09:05:00
7284.0,112.45,112.75,112.45,112.6,17629,2004-01-20 09:10:00
7156.0,112.6,112.65,112.3,112.3,17629,2004-01-20 09:15:00
4384.0,112.3,112.45,112.25,112.45,17629,2004-01-20 09:20:00
2617.0,112.4,112.45,112.3,112.3,17629,2004-01-20 09:25:00
4746.0,112.35,112.35,112.15,112.2,17629,2004-01-20 09:30:00
6124.0,112.15,112.2,111.95,112.1,17629,2004-01-20 09:35:00
2156.0,112.1,112.25,112.05,112.2,17629,2004-01-20 09:40:00
2153.0,112.15,112.3,112.15,112.3,17629,2004-01-20 09:45:00
1650.0,112.3,112.3,112.15,112.25,17629,2004-01-20 09:50:00
2112.0,112.2,112.35,112.15,112.3,17629,2004-01-20 09:55:00
1601.0,112.25,112.3,112.15,112.25,17629,2004-01-20 10:00:00
2166.0,112.25,112.4,112.2,112.35,17629,2004-01-20 10:05:00
13330.0,113.1,113.5,112.9,113.1,17629,2004-01-26 09:05:00
