"날짜","종가","오픈","고가","저가","변동 %"
"2019년 03월 08일","168.51","169.01","169.31","168.30","-0.18%"
"2019년 03월 07일","168.81","168.12","169.19","167.86","0.53%"
"2019년 03월 06일","167.92","167.84","168.54","167.74","0.16%"
"2019년 03월 05일","167.65","167.95","168.43","167.72","-0.05%"
"2019년 03월 04일","167.73","168.15","168.39","167.60","-0.14%"
"2019년 03월 01일","167.96","168.20","168.27","167.59","0.02%"
"2019년 02월 28일","167.92","167.21","168.38","167.03","0.59%"
"2019년 02월 27일","166.94","166.51","167.72","166.38","0.38%"
"2019년 02월 26일","166.30","166.84","167.37","166.30","-0.16%"
"2019년 02월 25일","166.57","167.30","167.96","166.69","-0.28%"
"2019년 02월 22일","167.03","167.51","167.77","166.96","-0.18%"
"2019년 02월 21일","167.33","167.12","168.07","166.90","0.26%"
"2019년 02월 20일","166.89","166.15","167.34","165.98","0.58%"
"2019년 02월 19일","165.93","166.46","166.96","166.02","-0.19%"
"2019년 02월 18일","166.24","166.27","166.63","165.90","0.12%"
"2019년 02월 15일","166.04","166.32","166.85","166.13","-0.17%"
"2019년 02월 14일","166.32","166.50","166.79","166.12","-0.11%"
"2019년 02월 13일","166.50","165.51","166.59","165.41","0.59%"
"2019년 02월 12일","165.53","165.77","166.16","165.45","-0.15%"
"2019년 02월 11일","165.78","166.63","166.88","165.56","-0.56%"
"2019년 02월 08일","166.72","166.76","167.23","166.24","-0.02%"
"2019년 02월 07일","166.76","166.32","167.13","166.12","0.26%"
"2019년 02월 06일","166.32","165.70","166.41","165.64","0.40%"
"2019년 02월 05일","165.65","166.03","166.41","165.58","-0.23%"
"2019년 02월 04일","166.03","165.91","166.56","165.81","0.04%"
"2019년 02월 01일","165.97","165.94","166.59","165.63","-0.02%"
"2019년 01월 31일","166.01","165.42","166.54","165.19","0.36%"
"2019년 01월 30일","165.42","166.11","166.76","165.17","-0.38%"
"2019년 01월 29일","166.05","165.90","166.43","165.55","0.10%"
"2019년 01월 28일","165.88","165.75","166.22","165.51","0.04%"
"2019년 01월 25일","165.81","166.21","166.43","165.50","-0.28%"
"2019년 01월 24일","166.27","165.92","166.82","165.82","0.25%"
"2019년 01월 23일","165.85","166.27","166.42","165.75","-0.23%"
"2019년 01월 22일","166.24","166.68","166.76","165.93","-0.38%"
"2019년 01월 21일","166.88","166.19","166.91","165.84","0.46%"
"2019년 01월 18일","166.12","165.66","166.19","165.29","0.27%"
"2019년 01월 17일","165.68","165.86","166.35","165.27","-0.12%"
"2019년 01월 16일","165.88","166.07","166.47","165.47","-0.13%"
"2019년 01월 15일","166.09","165.75","166.38","165.41","0.21%"
"2019년 01월 14일","165.75","165.34","166.53","165.30","0.25%"
"2019년 01월 11일","165.34","164.72","165.81","164.59","0.41%"
"2019년 01월 10일","164.66","163.95","165.26","163.88","0.38%"
"2019년 01월 09일","164.04","163.92","164.53","163.71","0.12%"
"2019년 01월 08일","163.84","163.15","164.49","163.03","0.43%"
"2019년 01월 07일","163.14","162.43","163.82","162.26","0.34%"
"2019년 01월 04일","162.59","163.88","164.47","162.43","-0.76%"
"2019년 01월 03일","163.84","163.21","164.47","163.07","0.37%"
"2019년 01월 02일","163.24","161.90","163.76","161.90","0.90%"
"2019년 01월 01일","161.78","162.00","162.09","161.76","-0.14%"
"2018년 12월 31일","162.00","162.40","162.50","161.49","-0.25%"
"2018년 12월 28일","162.40","163.16","163.53","161.93","-0.45%"
"2018년 12월 27일","163.13","163.35","163.68","162.48","-0.04%"
"2018년 12월 26일","163.19","163.10","163.79","162.97","-0.13%"
"2018년 12월 25일","163.41","163.09","163.72","162.91","0.23%"
"2018년 12월 24일","163.04","163.46","163.56","162.79","-0.26%"
"2018년 12월 21일","163.47","163.07","163.62","162.34","0.25%"
"2018년 12월 20일","163.07","163.94","164.07","162.75","-0.51%"
"2018년 12월 19일","163.91","163.50","163.97","162.68","0.23%"
"2018년 12월 18일","163.53","163.78","164.28","163.37","-0.15%"
"2018년 12월 17일","163.77","163.89","164.35","163.60","-0.13%"
"2018년 12월 14일","163.98","163.58","164.60","163.44","0.26%"
"2018년 12월 13일","163.56","163.48","163.97","163.22","0.04%"
"2018년 12월 12일","163.49","163.68","164.19","163.29","-0.13%"
"2018년 12월 11일","163.70","163.26","164.19","163.26","0.28%"
"2018년 12월 10일","163.25","163.64","163.90","163.02","-0.21%"
"2018년 12월 07일","163.60","162.57","163.84","162.34","0.65%"
"2018년 12월 06일","162.54","162.47","163.29","162.20","0.02%"
"2018년 12월 05일","162.50","162.54","162.93","162.07","-0.04%"
"2018년 12월 04일","162.56","161.19","162.75","161.06","0.84%"
"2018년 12월 03일","161.20","160.96","161.68","160.23","0.14%"
"2018년 11월 30일","160.97","161.06","161.90","160.60","0.00%"
"2018년 11월 29일","160.97","161.57","161.99","160.84","-0.37%"
"2018년 11월 28일","161.56","162.59","162.91","161.40","-0.65%"
"2018년 11월 27일","162.62","162.79","163.09","162.34","-0.10%"
"2018년 11월 26일","162.78","163.14","163.28","162.32","-0.21%"
"2018년 11월 23일","163.13","163.77","163.97","162.73","-0.40%"
"2018년 11월 22일","163.79","162.84","163.79","162.72","0.58%"
"2018년 11월 21일","162.85","162.78","163.49","162.66","0.07%"
"2018년 11월 20일","162.74","162.18","162.90","162.13","0.36%"
"2018년 11월 19일","162.16","161.62","162.97","161.60","0.33%"
"2018년 11월 16일","161.63","162.54","163.13","161.35","-0.56%"
"2018년 11월 15일","162.54","162.99","163.41","162.12","-0.26%"
"2018년 11월 14일","162.97","162.76","163.71","162.34","0.19%"
"2018년 11월 13일","162.66","163.49","163.81","162.41","-0.59%"
"2018년 11월 12일","163.62","162.53","163.85","162.47","0.67%"
"2018년 11월 09일","162.53","161.73","162.82","161.54","0.48%"
"2018년 11월 08일","161.75","161.34","161.97","160.84","0.25%"
"2018년 11월 07일","161.34","162.15","162.56","161.28","-0.49%"
"2018년 11월 06일","162.14","161.83","162.87","161.83","0.20%"
"2018년 11월 05일","161.82","162.16","162.90","161.58","-0.27%"
"2018년 11월 02일","162.26","162.50","163.21","161.57","-0.09%"
"2018년 11월 01일","162.40","163.62","163.75","162.06","-0.81%"
"2018년 10월 31일","163.72","163.59","163.94","163.28","0.09%"
"2018년 10월 30일","163.57","164.28","164.47","163.21","-0.43%"
"2018년 10월 29일","164.28","164.34","164.50","163.50","0.04%"
"2018년 10월 26일","164.22","163.66","164.94","163.41","0.33%"
"2018년 10월 25일","163.68","164.13","164.40","163.25","-0.29%"
"2018년 10월 24일","164.15","163.72","164.26","162.85","0.28%"
"2018년 10월 23일","163.69","163.07","164.38","162.87","0.35%"
"2018년 10월 22일","163.12","163.36","164.07","162.73","-0.16%"
"2018년 10월 19일","163.38","164.22","164.44","162.96","-0.45%"
"2018년 10월 18일","164.12","162.90","164.35","162.78","0.74%"
"2018년 10월 17일","162.91","162.57","163.12","162.40","0.25%"
"2018년 10월 16일","162.50","163.47","164.12","162.12","-0.70%"
"2018년 10월 15일","163.64","163.44","164.22","162.94","0.13%"
"2018년 10월 12일","163.43","164.87","165.22","163.24","-0.84%"
"2018년 10월 11일","164.81","165.12","165.54","164.20","-0.19%"
"2018년 10월 10일","165.12","163.56","165.29","163.26","0.97%"
