"날짜","종가","시가","고가","저가","거래량","변동 %"
"2010- 01- 01","1,670.52","1,666.93","1,670.98","1,666.23","","0.05%"
"2010- 01- 04","1,657.55","1,665.87","1,669.06","1,644.96","","-0.78%"
"2010- 01- 05","1,638.30","1,656.81","1,660.49","1,632.75","","-1.16%"
"2010- 01- 06","1,627.74","1,636.23","1,644.48","1,620.08","","-0.64%"
"2010- 01- 07","1,629.74","1,625.28","1,636.66","1,616.02","","0.12%"
"2010- 01- 08","1,626.32","1,628.24","1,629.34","1,610.64","","-0.21%"
"2010- 01- 11","1,626.24","1,625.11","1,631.16","1,613.81","","0.00%"
"2010- 01- 12","1,624.30","1,625.46","1,633.30","1,620.18","","-0.12%"
"2010- 01- 13","1,629.53","1,622.35","1,640.88","1,617.79","","0.32%"
"2010- 01- 14","1,629.03","1,628.02","1,633.55","1,620.79","","-0.03%"
"2010- 01- 15","1,616.10","1,627.74","1,629.56","1,609.82","","-0.79%"
"2010- 01- 18","1,617.45","1,610.16","1,621.88","1,607.02","","0.08%"
"2010- 01- 19","1,616.27","1,617.11","1,624.93","1,604.86","","-0.07%"
"2010- 01- 20","1,613.52","1,613.88","1,618.49","1,596.76","","-0.17%"
"2010- 01- 21","1,613.65","1,610.99","1,617.08","1,593.45","","0.01%"
"2010- 01- 22","1,631.47","1,609.57","1,636.65","1,607.63","","1.10%"
"2010- 01- 25","1,623.18","1,631.54","1,633.37","1,619.53","","-0.51%"
"2010- 01- 26","1,629.30","1,621.25","1,643.66","1,617.14","","0.38%"
"2010- 01- 27","1,627.97","1,627.43","1,644.24","1,620.05","","-0.08%"
"2010- 01- 28","1,602.08","1,626.74","1,631.92","1,600.17","","-1.59%"
"2010- 01- 29","1,606.93","1,601.66","1,625.10","1,600.97","","0.30%"
"2010- 02- 01","1,624.70","1,609.79","1,630.37","1,605.63","","1.11%"
"2010- 02- 02","1,619.82","1,623.66","1,625.88","1,606.79","","-0.30%"
"2010- 02- 03","1,596.24","1,618.08","1,620.88","1,594.28","","-1.46%"
"2010- 02- 04","1,574.70","1,594.48","1,606.22","1,572.75","","-1.35%"
"2010- 02- 05","1,598.45","1,572.98","1,618.95","1,571.37","","1.51%"
"2010- 02- 08","1,600.74","1,594.40","1,608.14","1,590.44","","0.14%"
"2010- 02- 09","1,595.03","1,598.59","1,604.29","1,587.08","","-0.36%"
