날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프
2017-09-26,4201000.0,3928.0,1134.8,2017-09-26 09:00:00,1123.34814453125,4457494.399999999,-0.05754228204975409,1069.5010183299387,0.03852015538658152,0.027940328333124237,0.029795773046071644
2017-09-27,4317000.0,3882.36,1137.62,2017-09-27 09:00:00,1122.712158203125,4416650.3832,-0.022562434096900397,1111.952523722684,0.03164210654527663,0.027483428217261824,0.029898816388982008
2017-09-28,4322000.0,4192.11,1145.75,2017-09-28 09:00:00,1122.1907958984375,4803110.0325,-0.10016635664071682,1030.9843968788987,0.04476066914672672,0.0261661949045095,0.02998328819657703
2017-09-29,4657000.0,4178.98,1146.59,2017-09-29 09:00:00,1121.6866455078125,4791576.678199999,-0.028086095086879426,1114.3867642343348,0.031247707690024773,0.026030096997656876,0.030064971307175864
2017-09-30,4586000.0,4175.0,1146.59,2017-09-30 09:00:00,1121.27197265625,4787013.25,-0.04199137113313822,1098.443113772455,0.03383091894651516,0.026030096997656876,0.03013215714899284
2017-10-01,4657000.0,4378.49,1146.59,2017-10-01 09:00:00,1121.239013671875,5020332.849099999,-0.07237226295964305,1063.6086870131028,0.03947483867075249,0.026030096997656876,0.030137497207070735
2017-10-02,4889000.0,4400.0,1145.13,2017-10-02 09:00:00,1121.3909912109375,5038572.000000001,-0.029685394988897773,1111.1363636363637,0.03177434187790146,0.02626664812147214,0.030112873605933788
2017-10-03,4962000.0,4380.0,1146.61,2017-10-03 09:00:00,1121.737548828125,5022151.8,-0.011977296265716197,1132.876712328767,0.02825194193589839,0.026026856571303242,0.03005672388414446
2017-10-04,5021000.0,4314.9,1143.24,2017-10-04 09:00:00,1122.1104736328125,4932966.276,0.01784600158900429,1163.6422628566133,0.023267266900173444,0.026572868411890577,0.02999630211589277
2017-10-05,4987000.0,4208.59,1142.99,2017-10-05 09:00:00,1122.614990234375,4810376.2841,0.03671723488322609,1184.9574322991784,0.01981375506048008,0.02661337374131101,0.029914559671315316
2017-10-06,4894000.0,4318.99,1142.41,2017-10-06 09:00:00,1123.2513427734375,4934057.365900001,-0.008118544826179575,1133.1352932051245,0.028210046321583665,0.02670734610556641,0.029811456994426305
2017-10-07,4927000.0,4369.0,1142.41,2017-10-07 09:00:00,1124.0517578125,4991189.29,-0.012860520062544012,1127.718013275349,0.02908776115405659,0.02670734610556641,0.029681772695105163
2017-10-08,4983000.0,4425.0,1142.41,2017-10-08 09:00:00,1124.6640625,5055164.25,-0.014275352180693202,1126.1016949152543,0.029349639184552273,0.02670734610556641,0.02958256628281372
2017-10-09,5044000.0,4640.0,1145.51,2017-10-09 09:00:00,1125.1575927734375,5315166.4,-0.05101748084500235,1087.0689655172414,0.03567377343433201,0.026205080020753113,0.029502603857595566
2017-10-10,5222000.0,4786.95,1143.81,2017-10-10 09:00:00,1125.51220703125,5475361.279499999,-0.046272979364593736,1090.882503472984,0.0350558989897134,0.02648051626081202,0.02944514878827606
2017-10-11,5469000.0,4783.06,1135.21,2017-10-11 09:00:00,1125.65185546875,5429777.5426,0.007223584592973564,1143.4102854657897,0.02654527853634131,0.02787389959287473,0.029422522764420117
2017-10-12,5533000.0,4821.43,1132.91,2017-10-12 09:00:00,1125.66015625,5462246.2613,0.012953231201106696,1147.5848451600457,0.025868910873936973,0.028246548623542672,0.029421177860904202
2017-10-13,5569000.0,5439.99,1132.89,2017-10-13 09:00:00,1125.9541015625,6162910.2711000005,-0.09636847608913757,1023.715117123377,0.04593844743131334,0.02824978904989628,0.029373552454046575
2017-10-14,6346000.0,5650.0,1132.89,2017-10-14 09:00:00,1126.1514892578125,6400828.500000001,-0.008565844249693755,1123.1858407079646,0.029822069725385092,0.02824978904989628,0.0293415714395579
2017-10-15,6427000.0,5855.03,1132.89,2017-10-15 09:00:00,1126.1710205078125,6633104.9367,-0.031072165850965505,1097.6886540290998,0.03395315750827138,0.02824978904989628,0.029338406960696922
2017-10-16,6610000.0,5710.0,1127.0,2017-10-16 09:00:00,1125.9486083984375,6435170.0,0.027167891446535197,1157.6182136602451,0.02424329128874847,0.029204094611041592,0.029374442463726225
2017-10-17,6403000.0,5760.0,1128.28,2017-10-17 09:00:00,1125.482421875,6498892.8,-0.014755251848437956,1111.6319444444446,0.03169404722235844,0.02899670732440901,0.029449974618539043
2017-10-18,6495000.0,5595.0,1131.21,2017-10-18 09:00:00,1124.56591796875,6329119.95,0.02620902294638916,1160.857908847185,0.023718391605673406,0.02852198486360158,0.029598467789090088
2017-10-19,6413000.0,5513.0,1132.87,2017-10-19 09:00:00,1123.3233642578125,6245512.31,0.026817286026612708,1163.2504988209687,0.02333074102544891,0.02825302947624997,0.02979978797862648
